Plant,Day,Green%,Red%,Blue%,Neutral%
plant1,day10_segmented,10.5321875,0.00125,0.00421875,89.46234375
plant1,day11_segmented,11.738750000000001,0.00328125,0.0026562499999999998,88.2553125
plant1,day12_segmented,9.4546875,0.0034375,0.00125,90.540625
plant1,day13_segmented,9.231406250000001,0.0,0.0,90.76859375
plant1,day14_segmented,8.11125,0.00171875,0.00140625,91.885625
plant1,day1_segmented,8.93671875,0.0043749999999999995,0.00140625,91.0575
plant1,day2_segmented,2.3421875,0.00140625,0.0,97.65640625
plant1,day3_segmented,1.1125,0.00625,0.028906249999999998,98.85234375
plant1,day4_segmented,7.404375000000001,0.00140625,0.00515625,92.5890625
plant1,day5_segmented,10.329375,0.0059375,0.00015625,89.66453125
plant1,day6_segmented,9.99125,0.0028125,0.00390625,90.00203125
plant1,day7_segmented,10.006718750000001,0.00203125,0.00421875,89.98703125
plant1,day8_segmented,7.95328125,0.00484375,0.01578125,92.02609375
plant1,day9_segmented,8.9690625,0.00125,0.0026562499999999998,91.02703125
plant2,day10_segmented,0.4221875,0.0,0.0040625,99.57375
plant2,day11_segmented,0.043750000000000004,0.0,0.0,99.95625
plant2,day12_segmented,0.029375000000000002,0.0,0.0,99.970625
plant2,day13_segmented,0.0190625,0.0,0.0,99.9809375
plant2,day14_segmented,0.84453125,0.00171875,0.0,99.15375
plant2,day1_segmented,0.0,0.0,0.0,100.0
plant2,day2_segmented,0.0,0.0,0.0,100.0
plant2,day3_segmented,0.053125000000000006,0.0,0.0,99.946875
plant2,day4_segmented,0.340625,0.0003125,0.0,99.6590625
plant2,day5_segmented,0.03484375,0.0,0.0,99.96515625
plant2,day6_segmented,0.03,0.0,0.0,99.97
plant2,day7_segmented,0.013125,0.0,0.0,99.986875
plant2,day8_segmented,0.068125,0.0003125,0.0,99.9315625
plant2,day9_segmented,0.05703125,0.0,0.0,99.94296875
plant3,day10_segmented,34.60671875,0.000625,0.0,65.39265625
plant3,day11_segmented,32.54265625,0.00015625,0.0,67.4571875
plant3,day12_segmented,28.140781250000003,0.0,0.0,71.85921875
plant3,day13_segmented,30.94484375,0.0003125,0.0,69.05484375
plant3,day14_segmented,25.996875000000003,0.00015625,0.0,74.00296875
plant3,day1_segmented,22.63671875,0.012187499999999999,0.0,77.35109375
plant3,day2_segmented,23.376406250000002,0.006093749999999999,0.0,76.61749999999999
plant3,day3_segmented,13.58984375,0.00234375,0.0,86.4078125
plant3,day4_segmented,29.0771875,0.00171875,0.0003125,70.92078125
plant3,day5_segmented,28.372031250000003,0.00234375,0.0010937499999999999,71.62453124999999
plant3,day6_segmented,25.869062500000002,0.005,0.0,74.12593749999999
plant3,day7_segmented,29.680625,0.02171875,0.0,70.29765625
plant3,day8_segmented,29.568593749999998,0.00671875,0.0025,70.4221875
plant3,day9_segmented,27.98703125,0.0010937499999999999,0.0,72.011875
plant4,day10_segmented,2.56046875,0.00015625,0.00015625,97.43921875
plant4,day11_segmented,1.4234375000000001,0.00078125,0.0,98.57578125
plant4,day12_segmented,0.8090625,0.00015625,0.0,99.19078125
plant4,day13_segmented,4.66984375,0.001875,0.00015625,95.328125
plant4,day14_segmented,1.61625,0.000625,0.0,98.383125
plant4,day1_segmented,0.1575,0.0035937499999999997,0.0,99.83890625
plant4,day2_segmented,0.14375,0.00078125,0.0,99.85546875
plant4,day3_segmented,1.8831250000000002,0.01140625,0.0,98.10546875
plant4,day4_segmented,0.22296875,0.00015625,0.0,99.776875
plant4,day5_segmented,0.09343749999999999,0.0026562499999999998,0.0,99.90390625
plant4,day6_segmented,1.3875,0.0075,0.00078125,98.60421875
plant4,day7_segmented,0.96609375,0.0040625,0.0,99.02984375
plant4,day8_segmented,2.636875,0.006875,0.0003125,97.3559375
plant4,day9_segmented,4.265625,0.00828125,0.000625,95.72546875
